,County,Al Pisano,Dan Forest,Roy Cooper,Steven J. DiFiore,election_winner
0,ALAMANCE,282,42918,41979,756,Forest
1,ALEXANDER,75,14980,4980,152,Forest
2,ALLEGHANY,23,4085,1929,47,Forest
3,ANSON,38,4977,6116,75,Cooper
4,ASHE,60,10622,4967,128,Forest
5,AVERY,26,6894,2407,90,Forest
6,BEAUFORT,79,15710,10291,152,Forest
7,BERTIE,13,3654,6080,41,Cooper
8,BLADEN,48,9096,7784,105,Forest
9,BRUNSWICK,410,51703,36818,850,Forest
10,BUNCOMBE,622,58153,99395,2272,Cooper
11,BURKE,169,28898,15028,364,Forest
12,CABARRUS,506,59682,54665,1484,Forest
13,CALDWELL,145,30234,11926,368,Forest
14,CAMDEN,26,4200,1600,87,Forest
15,CARTERET,154,28689,13293,388,Forest
16,CASWELL,32,6634,5285,69,Forest
17,CATAWBA,351,53802,28267,828,Forest
18,CHATHAM,115,19937,28128,364,Cooper
19,CHEROKEE,59,12349,3772,171,Forest
20,CHOWAN,15,4308,3399,43,Forest
21,CLAY,34,4994,1761,69,Forest
22,CLEVELAND,145,32031,18549,399,Forest
23,COLUMBUS,84,15713,10309,139,Forest
24,CRAVEN,222,29614,22436,584,Forest
25,CUMBERLAND,850,55197,88278,2168,Cooper
26,CURRITUCK,95,11293,4382,255,Forest
27,DARE,94,13151,10485,290,Forest
28,DAVIDSON,265,60771,26598,796,Forest
29,DAVIE,70,17104,7904,200,Forest
30,DUPLIN,62,13295,9164,119,Forest
31,DURHAM,541,29989,147110,1955,Cooper
32,EDGECOMBE,68,8487,16786,108,Cooper
33,FORSYTH,841,78475,118663,2345,Cooper
34,FRANKLIN,133,19400,17427,385,Forest
35,GASTON,474,69158,44074,1213,Forest
36,GATES,39,3163,2679,52,Forest
37,GRAHAM,15,3489,1104,36,Forest
38,GRANVILLE,100,15411,15756,281,Cooper
39,GREENE,22,4678,3991,44,Forest
40,GUILFORD,1154,97973,180160,3305,Cooper
41,HALIFAX,65,9403,16098,132,Cooper
42,HARNETT,275,33049,23987,771,Forest
43,HAYWOOD,121,21185,14779,374,Forest
44,HENDERSON,260,38028,29144,758,Forest
45,HERTFORD,25,3282,7212,49,Cooper
46,HOKE,112,8475,12597,344,Cooper
47,HYDE,6,1351,1111,15,Forest
48,IREDELL,433,63962,36375,1227,Forest
49,JACKSON,101,10519,10406,320,Forest
50,JOHNSTON,462,64310,45165,1137,Forest
51,JONES,16,3128,2333,35,Forest
52,LEE,117,14937,13522,285,Forest
53,LENOIR,58,13906,14208,176,Cooper
54,LINCOLN,218,34711,14730,449,Forest
55,MACON,89,13333,7062,200,Forest
56,MADISON,56,7352,5489,154,Forest
57,MARTIN,30,6154,6277,52,Cooper
58,MCDOWELL,85,15761,6851,203,Forest
59,MECKLENBURG,2439,171123,382726,8145,Cooper
60,MITCHELL,25,6827,2090,59,Forest
61,MONTGOMERY,39,7622,5069,96,Forest
62,MOORE,232,34311,22974,610,Forest
63,NASH,134,24062,27692,306,Cooper
64,NEW HANOVER,572,59305,69554,1845,Cooper
65,NORTHAMPTON,30,3689,6313,52,Cooper
66,ONSLOW,533,43838,25653,1454,Forest
67,ORANGE,176,18810,65042,787,Cooper
68,PAMLICO,25,4672,2881,48,Forest
69,PASQUOTANK,94,9449,10061,207,Cooper
70,PENDER,154,20854,12599,398,Forest
71,PERQUIMANS,20,4756,2637,58,Forest
72,PERSON,70,12296,9301,142,Forest
73,PITT,285,37210,48995,898,Cooper
74,POLK,42,7280,4863,114,Forest
75,RANDOLPH,253,53176,18929,555,Forest
76,RICHMOND,86,10740,9622,183,Forest
77,ROBESON,141,23888,22281,280,Forest
78,ROCKINGHAM,149,28891,18197,415,Forest
79,ROWAN,320,46676,25473,750,Forest
80,RUTHERFORD,121,23437,10469,249,Forest
81,SAMPSON,70,16404,11890,174,Forest
82,SCOTLAND,61,6821,7671,94,Cooper
83,STANLY,117,24022,9413,264,Forest
84,STOKES,65,18849,6567,200,Forest
85,SURRY,96,25366,10872,265,Forest
86,SWAIN,32,3847,3043,107,Forest
87,TRANSYLVANIA,69,10800,9226,230,Forest
88,TYRRELL,7,975,811,9,Forest
89,UNION,489,77305,51306,1371,Forest
90,VANCE,52,7608,13160,130,Cooper
91,WAKE,2176,209183,410386,7928,Cooper
92,WARREN,21,3497,6716,61,Cooper
93,WASHINGTON,13,2623,3531,24,Cooper
94,WATAUGA,126,13790,17642,482,Cooper
95,WAYNE,224,29056,25589,447,Forest
96,WILKES,94,25469,9537,250,Forest
97,WILSON,104,18305,22014,262,Cooper
98,YADKIN,54,14910,4777,159,Forest
99,YANCEY,39,7105,4147,83,Forest
